akthst,linientext,total_trips,avg_delay,median_delay,pct_high_delay,delay_group,delay_color,longitude,latitude
4350101,1,1206,1.895116086235489,1.01,15.58872305140962,0-5 (Slight),#F1C40F,7.624225,51.939722
4350101,5,1727,2.5815576143601624,1.32,21.482339316734222,0-5 (Slight),#F1C40F,7.624225,51.939722
4350101,9,933,2.5079099678456593,1.28,15.862808145766344,0-5 (Slight),#F1C40F,7.624225,51.939722
4350101,E10,26,2.621153846153846,2.87,7.6923076923076925,0-5 (Slight),#F1C40F,7.624225,51.939722
4350101,E9,7,3.9914285714285715,2.32,42.857142857142854,0-5 (Slight),#F1C40F,7.624225,51.939722
4350101,N82,420,1.6688333333333332,1.13,5.952380952380952,0-5 (Slight),#F1C40F,7.624225,51.939722
4353101,5,1293,2.663488012374323,2.58,17.556071152358854,0-5 (Slight),#F1C40F,7.624942,51.942176
4353101,N82,314,2.3764649681528662,2.6900000000000004,10.828025477707007,0-5 (Slight),#F1C40F,7.624942,51.942176
4355101,5,583,3.9211492281303606,3.82,17.495711835334475,0-5 (Slight),#F1C40F,7.628627,51.943992
4355101,N82,193,1.881243523316062,0.2,5.699481865284974,0-5 (Slight),#F1C40F,7.628627,51.943992
4356101,5,1212,1.9083993399339934,0.58,16.17161716171617,0-5 (Slight),#F1C40F,7.631137,51.947874
4356101,N82,163,2.0320245398773005,0.35,12.883435582822086,0-5 (Slight),#F1C40F,7.631137,51.947874
4357101,5,1327,1.927995478522984,0.6,14.619442351168049,0-5 (Slight),#F1C40F,7.631423,51.951004
4357101,N82,254,1.6639370078740157,0.92,5.905511811023622,0-5 (Slight),#F1C40F,7.631423,51.951004
4358101,4,985,2.5599492385786804,2.22,9.441624365482234,0-5 (Slight),#F1C40F,7.620919,51.940401
4358101,N81,253,1.3039130434782609,0.42,5.533596837944664,0-5 (Slight),#F1C40F,7.620919,51.940401
4359101,1,1199,1.6770391993327773,1.05,11.009174311926607,0-5 (Slight),#F1C40F,7.623568,51.942207
4359101,4,1802,1.7086625971143174,1.03,11.154273029966703,0-5 (Slight),#F1C40F,7.623568,51.942207
4359101,9,952,1.8169327731092437,1.08,13.655462184873949,0-5 (Slight),#F1C40F,7.623568,51.942207
4359101,E9,3,3.0533333333333332,3.23,0.0,0-5 (Slight),#F1C40F,7.623568,51.942207
4359101,N81,394,0.9681725888324872,0.8,2.284263959390863,0-5 (Slight),#F1C40F,7.623568,51.942207
4360001,1,1301,1.5025365103766333,0.28,7.071483474250577,0-5 (Slight),#F1C40F,7.62326,51.945994
4360001,4,994,2.5076760563380285,1.7,15.392354124748492,0-5 (Slight),#F1C40F,7.62326,51.945994
4360001,9,863,1.8371842410196988,0.38,10.081112398609502,0-5 (Slight),#F1C40F,7.62326,51.945994
4360001,E9,14,1.0885714285714285,0.275,14.285714285714285,0-5 (Slight),#F1C40F,7.62326,51.945994
4360001,N81,368,1.1848913043478262,0.28,3.532608695652174,0-5 (Slight),#F1C40F,7.62326,51.945994
4361101,1,737,1.6589552238805971,0.28,11.12618724559023,0-5 (Slight),#F1C40F,7.624412,51.949336
4361101,9,588,1.9723979591836733,0.57,11.73469387755102,0-5 (Slight),#F1C40F,7.624412,51.949336
4361101,E9,5,2.0140000000000002,1.25,20.0,0-5 (Slight),#F1C40F,7.624412,51.949336
4361101,N81,65,3.8616923076923078,3.93,3.076923076923077,0-5 (Slight),#F1C40F,7.624412,51.949336
4362101,1,1172,2.032150170648464,1.12,14.505119453924914,0-5 (Slight),#F1C40F,7.625532,51.952884
4362101,9,965,2.673544041450777,1.33,19.48186528497409,0-5 (Slight),#F1C40F,7.625532,51.952884
4362101,E9,4,4.0375,3.19,25.0,0-5 (Slight),#F1C40F,7.625532,51.952884
4362101,N81,153,1.7243790849673202,0.42,7.8431372549019605,0-5 (Slight),#F1C40F,7.625532,51.952884
4363101,11,1518,0.978768115942029,0.03,5.006587615283268,0-5 (Slight),#F1C40F,7.677201,51.966665
4363101,E11,18,6.878888888888889,5.91,50.0,5-10 (Moderate),#E67E22,7.677201,51.966665
4363101,N84,338,0.8009171597633136,-0.05,3.5502958579881656,0-5 (Slight),#F1C40F,7.677201,51.966665
4365101,4,857,2.8707934655775964,3.2,8.98483080513419,0-5 (Slight),#F1C40F,7.62142,51.950212
4371101,17,491,2.1142158859470466,0.37,19.144602851323828,0-5 (Slight),#F1C40F,7.649201,51.922126
4371101,E17,1,2.25,2.25,0.0,0-5 (Slight),#F1C40F,7.649201,51.922126
4372102,17,131,2.6383969465648853,2.43,5.343511450381679,0-5 (Slight),#F1C40F,7.655696,51.924555
4372102,E17,5,1.112,1.23,0.0,0-5 (Slight),#F1C40F,7.655696,51.924555
4373001,17,2604,1.3313863287250383,0.0,10.637480798771122,0-5 (Slight),#F1C40F,7.658123,51.924243
4373001,E17,75,2.331866666666667,0.0,16.0,0-5 (Slight),#F1C40F,7.658123,51.924243
4374101,17,1426,3.787650771388499,2.005,25.8765778401122,0-5 (Slight),#F1C40F,7.655399,51.922182
4374101,E17,35,1.806,0.33,20.0,0-5 (Slight),#F1C40F,7.655399,51.922182
4375101,17,531,2.7596233521657254,2.78,32.20338983050847,0-5 (Slight),#F1C40F,7.650405,51.924725
4375101,E17,22,3.5013636363636365,1.75,18.181818181818183,0-5 (Slight),#F1C40F,7.650405,51.924725
4377101,17,508,1.6584645669291338,1.08,7.480314960629922,0-5 (Slight),#F1C40F,7.637936,51.926061
4377101,E17,8,0.9612499999999999,-0.015,0.0,0-5 (Slight),#F1C40F,7.637936,51.926061
4378101,17,295,3.2228813559322034,3.38,21.01694915254237,0-5 (Slight),#F1C40F,7.633436,51.927188
4378101,E17,11,5.506363636363637,6.4,54.54545454545454,5-10 (Moderate),#E67E22,7.633436,51.927188
4379101,17,196,2.309948979591837,3.55,4.591836734693878,0-5 (Slight),#F1C40F,7.632641,51.928705
4379101,E17,12,2.7691666666666666,2.79,0.0,0-5 (Slight),#F1C40F,7.632641,51.928705
4380101,17,413,2.0734382566585956,0.4,14.285714285714285,0-5 (Slight),#F1C40F,7.630783,51.932311
4380101,E17,17,3.517058823529412,2.15,11.76470588235294,0-5 (Slight),#F1C40F,7.630783,51.932311
4381101,17,454,2.2052422907488984,1.51,11.233480176211454,0-5 (Slight),#F1C40F,7.633721,51.935351
4381101,E17,5,5.354000000000001,3.75,40.0,5-10 (Moderate),#E67E22,7.633721,51.935351
4382102,17,384,2.02375,1.31,11.71875,0-5 (Slight),#F1C40F,7.636039,51.937079
4382102,E17,12,3.3575,2.59,33.33333333333333,0-5 (Slight),#F1C40F,7.636039,51.937079
4383102,17,395,2.5891392405063294,2.47,9.367088607594937,0-5 (Slight),#F1C40F,7.634725,51.946313
4383102,E17,16,2.48375,2.35,0.0,0-5 (Slight),#F1C40F,7.634725,51.946313
4384102,14,831,1.4010950661853188,0.1,5.6558363417569195,0-5 (Slight),#F1C40F,7.642344,51.953332
4384102,E14,12,3.355,2.62,25.0,0-5 (Slight),#F1C40F,7.642344,51.953332
4385102,17,165,1.9636363636363636,1.5,7.878787878787878,0-5 (Slight),#F1C40F,7.635934,51.942769
4385102,E17,3,4.566666666666666,3.32,33.33333333333333,0-5 (Slight),#F1C40F,7.635934,51.942769
4386102,17,358,2.073072625698324,1.5899999999999999,11.731843575418994,0-5 (Slight),#F1C40F,7.635341,51.940011
4386102,E17,10,4.078,2.4050000000000002,40.0,0-5 (Slight),#F1C40F,7.635341,51.940011
4387101,5,1526,2.473224115334207,1.35,16.579292267365663,0-5 (Slight),#F1C40F,7.622357,51.928868
4387101,N82,385,1.9347012987012988,1.63,10.649350649350648,0-5 (Slight),#F1C40F,7.622357,51.928868
